"monitoring_location_id","activity_latitude","activity_longitude"
"10000002",60.54368,-151.22294
"10000005",60.54081,-151.18278
"10000008",60.550888,-151.268417
"10000015",60.548029,-151.14324
"10000016",60.539279,-151.142263
"10000017",60.533743,-151.099258
"10000018",60.502005,-151.106973
"10000020",60.482318,-151.127053
"10000021",60.476634,-151.082099
"10000022",60.483364,-151.057656
"10000023",60.480338,-151.030847
"10000024",60.489963,-150.860982
"10000025",60.498284,-150.863121
"10000026",60.53687,-150.754724
"10000027",60.515441,-150.702069
"10000028",60.489844,-150.636905
"10000029",60.481518,-150.632498
"10000030",60.467517,-150.507789
"10000031",60.481392,-150.11502
"10000032",60.484622,-149.993955
"10000424",60.489,-149.877
"10000425",60.492007,-149.810844
