"analyte","analyte_abbreviation"
"Calcium","Ca"
"Copper","Cu"
"Iron","Fe"
"Magnesium","Mg"
"Zinc","Zn"
"Arsenic","As"
"Cadmium","Cd"
"Chromium","Cr"
"Lead","Pb"
"Total Nitrate/Nitrite-N","Total Nitrate/Nitrite-N"
"Total Phosphorus","Total P"
"Benzene","Benzene"
"Ethylbenzene","Ethylbenzene"
"o-Xylene","o-Xylene"
"P & M -Xylene","P & M -Xylene"
"Toluene","Toluene"
"Xylenes (total)","Xylenes (total)"
"1,2-Dichloroethane-D4 (surr)",NA
"4-Bromofluorobenzene (surr)",NA
"Toluene-d8 (surr)",NA
"Total suspended solids","TSS"
"Fecal Coliform","FC"
"Water Temperature","Temp"
"Specific Conductance","SpCond"
"Dissolved Oxygen","DO"
"Turbidity","Turb"
"pH","pH"
